"Value Research Online"
"Date: 26-Mar-2018 00:30"
"Fund","Rating","Category","Launch","Expense Ratio (%)","3-Year Return (%)","3-Year Rank","Net Assets (Cr)"
"HSBC Large Cap Equity Fund","* * * ","EQ-LC     ","Dec 10, 2002","2.47","8.06","38/162","670.58"
"HDFC Top 200 Fund - Direct Plan","* * * ","EQ-LC     ","Jan 01, 2013","1.34","8.06","39/162","15250.33"
"Aditya Birla Sun Life Top 100 Fund","* * * * ","EQ-LC     ","Oct 24, 2005","2.31","7.99","40/162","3959.13"
"Principal Large Cap Fund - Direct Plan","* * * ","EQ-LC     ","Jan 02, 2013","1.9","7.97","41/162","309.79"
"Aditya Birla Sun Life Frontline Equity Fund","* * * * ","EQ-LC     ","Aug 30, 2002","2.15","7.96","42/162","19704.79"
"Reliance Top 200 Fund - Retail Plan","* * * * ","EQ-LC     ","Aug 08, 2007","1.98","7.96","43/162","8471.14"
"DHFL Pramerica Midcap Opportunities Fund - Direct Plan","* ","EQ-MC     ","Dec 02, 2013","1.42","7.94","78/87","125.46"
"Invesco India Dynamic Equity Fund","* * * * ","EQ-LC     ","Oct 04, 2007","2.11","7.85","44/162","864.35"
"Canara Robeco Large Cap+ Fund - Direct Plan","* * * ","EQ-LC     ","Jan 02, 2013","1.69","7.8","45/162","111.78"
"Tata Large Cap Fund - Direct Plan","* * * * ","EQ-LC     ","Jan 01, 2013","1.04","7.76","46/162","789.71"
"HDFC Equity Fund","* * * ","EQ-LC     ","Jan 01, 1995","2.11","7.68","47/162","21621.14"
"DHFL Pramerica Large Cap Fund - Direct Plan","* * * * ","EQ-LC     ","Jan 01, 2013","1.15","7.63","48/162","398.24"
"ICICI Prudential Value Discovery Fund - Direct Plan","* * * * * ","EQ-LC     ","Jan 01, 2013","1.32","7.58","49/162","16664.36"
"HSBC Dynamic Asset Allocation Fund - Direct Plan","* * * ","EQ-LC     ","Jan 01, 2013","1.97","7.56","50/162","44.34"
"Sundaram Select Focus Fund - Regular Plan","* * * ","EQ-LC     ","Jul 30, 2002","2.75","7.52","51/162","679.28"
"Franklin India Flexi Cap Fund - Direct Plan","* * * * * ","EQ-LC     ","Jan 01, 2013","1.53","7.51","52/162","2873.61"
